,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sot,dist,g-xg,save%,stp%,cmp%,totdist,crdy,crdr,fls,recov,season,team
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2.0,0.0,Monza,2.7,0.8,47.0,72509.0,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,22.0,3.0,13.6,0.67,17.2,-0.7,100.0,10.0,88.0,7722.0,1,0,8.0,40.0,3,Internazionale
1,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2.0,0.0,Cagliari,0.9,0.6,67.0,16412.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,17.0,3.0,17.6,0.67,15.9,1.1,100.0,0.0,84.4,10857.0,1,0,10.0,63.0,3,Internazionale
2,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Fiorentina,3.7,0.4,40.0,72739.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,20.0,10.0,50.0,0.3,14.5,0.3,100.0,0.0,81.7,5579.0,1,0,13.0,53.0,3,Internazionale
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5.0,1.0,Milan,2.6,1.1,41.0,75571.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,13.0,6.0,46.2,0.67,15.2,2.4,50.0,16.7,80.9,5601.0,2,0,16.0,31.0,3,Internazionale
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1.0,0.0,Empoli,1.6,0.3,61.0,15651.0,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,,23.0,5.0,21.7,0.2,16.8,-0.6,100.0,11.1,83.3,8961.0,2,0,11.0,49.0,3,Internazionale
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1.0,2.0,Sassuolo,0.9,1.0,63.0,70864.0,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,,13.0,3.0,23.1,0.33,15.2,0.1,66.7,22.2,82.7,9387.0,0,0,10.0,42.0,3,Internazionale
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Salernitana,2.3,0.6,64.0,28085.0,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,,15.0,5.0,33.3,0.6,16.8,1.7,100.0,0.0,85.0,9000.0,1,0,10.0,46.0,3,Internazionale
9,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2.0,2.0,Bologna,0.7,1.3,63.0,74072.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,14.0,5.0,35.7,0.4,18.3,1.3,66.7,0.0,83.5,8510.0,2,0,11.0,55.0,3,Internazionale
10,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3.0,0.0,Torino,2.5,0.4,53.0,26193.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,13.0,3.0,23.1,0.67,17.1,0.5,100.0,0.0,83.3,6868.0,2,0,8.0,39.0,3,Internazionale
12,2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1.0,0.0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,19.0,3.0,15.8,0.33,16.0,-1.2,100.0,0.0,84.2,9200.0,3,0,14.0,52.0,3,Internazionale
13,2023-11-04,18:00,Serie A,Matchweek 11,Sat,Away,W,2.0,1.0,Atalanta,1.3,1.0,46.0,14945.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,9.0,3.0,33.3,0.33,23.0,0.7,75.0,0.0,78.8,6842.0,1,0,9.0,51.0,3,Internazionale
15,2023-11-12,20:45,Serie A,Matchweek 12,Sun,Home,W,2.0,0.0,Frosinone,3.1,0.7,47.0,70816.0,Lautaro Martínez,3-5-2,Federico Dionisi,Match Report,,20.0,5.0,25.0,0.2,19.6,-1.1,100.0,0.0,83.3,7468.0,0,0,7.0,57.0,3,Internazionale
16,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Away,D,1.0,1.0,Juventus,0.9,0.4,65.0,41507.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,8.0,4.0,50.0,0.25,16.4,0.1,0.0,28.6,90.1,12253.0,1,0,13.0,42.0,3,Internazionale
18,2023-12-03,20:45,Serie A,Matchweek 14,Sun,Away,W,3.0,0.0,Napoli,2.7,0.6,43.0,55000.0,Lautaro Martínez,3-5-2,Davide Massa,Match Report,,11.0,4.0,36.4,0.75,16.0,0.3,100.0,0.0,78.7,5730.0,2,0,13.0,41.0,3,Internazionale
19,2023-12-09,20:45,Serie A,Matchweek 15,Sat,Home,W,4.0,0.0,Udinese,3.5,0.8,74.0,71874.0,Lautaro Martínez,3-5-2,Marco Di Bello,Match Report,,16.0,7.0,43.8,0.43,16.7,0.5,100.0,0.0,90.6,13667.0,0,0,9.0,47.0,3,Internazionale
21,2023-12-17,20:45,Serie A,Matchweek 16,Sun,Away,W,2.0,0.0,Lazio,1.6,1.5,52.0,59000.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,12.0,4.0,33.3,0.5,13.8,0.4,100.0,0.0,86.1,8522.0,2,0,15.0,47.0,3,Internazionale
23,2023-12-23,18:00,Serie A,Matchweek 17,Sat,Home,W,2.0,0.0,Lecce,2.9,1.3,68.0,72723.0,Nicolò Barella,3-5-2,Matteo Marcenaro,Match Report,,20.0,8.0,40.0,0.25,15.1,-0.9,100.0,0.0,86.1,9506.0,1,0,8.0,37.0,3,Internazionale
24,2023-12-29,20:45,Serie A,Matchweek 18,Fri,Away,D,1.0,1.0,Genoa,1.8,0.5,52.0,33249.0,Nicolò Barella,3-5-2,Daniele Doveri,Match Report,,16.0,6.0,37.5,0.17,14.4,-0.8,75.0,4.5,83.5,6430.0,2,0,15.0,33.0,3,Internazionale
25,2024-01-06,12:30,Serie A,Matchweek 19,Sat,Home,W,2.0,1.0,Hellas Verona,1.9,1.3,61.0,71691.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,15.0,6.0,40.0,0.33,15.2,0.1,66.7,12.5,80.2,8350.0,0,0,16.0,50.0,3,Internazionale
26,2024-01-13,20:45,Serie A,Matchweek 20,Sat,Away,W,5.0,1.0,Monza,4.3,1.0,43.0,,Lautaro Martínez,3-5-2,Antonio Rapuano,Match Report,,18.0,5.0,27.8,0.6,19.7,0.7,100.0,0.0,82.2,5865.0,2,0,12.0,37.0,3,Internazionale
0,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Away,W,3.0,0.0,Udinese,1.8,1.0,51.0,24911.0,Danilo,3-1-4-2,Antonio Rapuano,Match Report,,8.0,3.0,37.5,0.67,17.0,1.2,100.0,6.3,81.7,6766.0,3,0,10.0,42.0,3,Juventus
1,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Bologna,0.8,0.5,58.0,36107.0,Danilo,3-1-4-2,Marco Di Bello,Match Report,,14.0,3.0,21.4,0.33,18.0,0.2,75.0,0.0,83.5,8459.0,2,0,15.0,48.0,3,Juventus
2,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,W,2.0,0.0,Empoli,2.7,0.3,50.0,15702.0,Danilo,3-5-2,Giovanni Ayroldi,Match Report,,17.0,4.0,23.5,0.5,17.6,-0.7,,10.5,82.8,7555.0,3,0,13.0,50.0,3,Juventus
3,2023-09-16,15:00,Serie A,Matchweek 4,Sat,Home,W,3.0,1.0,Lazio,2.2,0.6,36.0,40652.0,Danilo,3-1-4-2,Fabio Maresca,Match Report,,17.0,7.0,41.2,0.43,12.8,0.8,80.0,0.0,80.8,5797.0,5,0,13.0,41.0,3,Juventus
4,2023-09-23,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,4.0,Sassuolo,1.2,1.6,57.0,20141.0,Danilo,3-1-4-2,Andrea Colombo,Match Report,,15.0,2.0,13.3,0.5,18.2,-0.2,42.9,0.0,83.1,7756.0,2,0,8.0,50.0,3,Juventus
5,2023-09-26,20:45,Serie A,Matchweek 6,Tue,Home,W,1.0,0.0,Lecce,1.4,0.1,50.0,37498.0,Danilo,3-1-4-2,Antonio Giua,Match Report,,15.0,5.0,33.3,0.2,18.2,-0.4,,0.0,82.3,7247.0,2,0,14.0,49.0,3,Juventus
6,2023-10-01,18:00,Serie A,Matchweek 7,Sun,Away,D,0.0,0.0,Atalanta,0.2,1.2,48.0,14811.0,Danilo,3-1-4-2,Daniele Chiffi,Match Report,,5.0,3.0,60.0,0.0,22.3,-0.2,100.0,0.0,85.2,8588.0,2,0,7.0,51.0,3,Juventus
7,2023-10-07,18:00,Serie A,Matchweek 8,Sat,Home,W,2.0,0.0,Torino,1.9,0.6,50.0,38858.0,Danilo,3-5-2,Davide Massa,Match Report,,17.0,5.0,29.4,0.4,15.1,0.1,100.0,11.1,80.0,6685.0,1,0,10.0,41.0,3,Juventus
8,2023-10-22,20:45,Serie A,Matchweek 9,Sun,Away,W,1.0,0.0,Milan,1.4,0.3,48.0,75676.0,Adrien Rabiot,3-5-2,Maurizio Mariani,Match Report,,14.0,4.0,28.6,0.25,19.5,-0.4,100.0,8.0,81.8,6808.0,4,0,16.0,45.0,3,Juventus
9,2023-10-28,20:45,Serie A,Matchweek 10,Sat,Home,W,1.0,0.0,Hellas Verona,3.3,0.3,54.0,39429.0,Adrien Rabiot,3-5-2,Ermanno Feliciani,Match Report,,30.0,5.0,16.7,0.2,17.8,-2.3,100.0,20.0,85.3,8748.0,3,0,13.0,55.0,3,Juventus
10,2023-11-05,20:45,Serie A,Matchweek 11,Sun,Away,W,1.0,0.0,Fiorentina,0.7,0.7,32.0,38225.0,Adrien Rabiot,3-5-2,Daniele Chiffi,Match Report,,4.0,3.0,75.0,0.33,12.3,0.3,100.0,2.6,66.7,3877.0,3,0,21.0,50.0,3,Juventus
11,2023-11-11,18:00,Serie A,Matchweek 12,Sat,Home,W,2.0,1.0,Cagliari,2.3,0.6,49.0,39892.0,Manuel Locatelli,3-5-2,Marco Piccinini,Match Report,,18.0,4.0,22.2,0.5,14.1,-0.3,50.0,5.6,76.5,6340.0,3,0,14.0,46.0,3,Juventus
12,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Inter,0.4,0.9,35.0,41507.0,Adrien Rabiot,5-3-2,Marco Guida,Match Report,,4.0,1.0,25.0,1.0,19.8,0.6,75.0,22.2,80.9,6936.0,2,0,12.0,44.0,3,Juventus
13,2023-12-01,20:45,Serie A,Matchweek 14,Fri,Away,W,2.0,1.0,Monza,2.5,0.7,35.0,15148.0,Adrien Rabiot,3-5-2,Michael Fabbri,Match Report,,17.0,6.0,35.3,0.33,16.2,-0.5,0.0,0.0,81.8,6028.0,2,0,8.0,40.0,3,Juventus
14,2023-12-08,20:45,Serie A,Matchweek 15,Fri,Home,W,1.0,0.0,Napoli,0.9,1.2,34.0,41400.0,Danilo,3-5-2,Daniele Orsato,Match Report,,11.0,2.0,18.2,0.5,17.3,0.1,100.0,15.0,68.9,4374.0,2,0,11.0,46.0,3,Juventus
15,2023-12-15,20:45,Serie A,Matchweek 16,Fri,Away,D,1.0,1.0,Genoa,1.7,0.8,57.0,33232.0,Danilo,3-5-2,Davide Massa,Match Report,,10.0,3.0,30.0,0.0,15.2,-0.7,66.7,7.1,80.4,7228.0,3,0,12.0,37.0,3,Juventus
16,2023-12-23,12:30,Serie A,Matchweek 17,Sat,Away,W,2.0,1.0,Frosinone,1.1,0.5,44.0,38225.0,Danilo,3-5-2,Maurizio Mariani,Match Report,,13.0,3.0,23.1,0.67,14.5,0.9,66.7,8.3,74.9,5839.0,2,0,12.0,44.0,3,Juventus
17,2023-12-30,20:45,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Roma,1.1,0.5,43.0,41503.0,Danilo,3-5-2,Simone Sozza,Match Report,,13.0,3.0,23.1,0.33,18.0,-0.1,100.0,11.1,82.0,7745.0,1,0,15.0,39.0,3,Juventus
19,2024-01-07,18:00,Serie A,Matchweek 19,Sun,Away,W,2.0,1.0,Salernitana,2.0,0.8,70.0,40548.0,Danilo,3-5-2,Marco Guida,Match Report,,18.0,3.0,16.7,0.67,15.9,0.0,66.7,0.0,85.3,9971.0,5,0,15.0,41.0,3,Juventus
0,2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2.0,0.0,Bologna,0.9,1.0,47.0,30203.0,Davide Calabria,4-3-3,Luca Pairetto,Match Report,,9.0,5.0,55.6,0.4,15.7,1.1,100.0,20.0,83.5,6699.0,2,0,4.0,54.0,3,Milan
1,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4.0,1.0,Torino,3.0,0.5,59.0,72013.0,Davide Calabria,4-3-3,Maurizio Mariani,Match Report,,15.0,5.0,33.3,0.4,20.7,1.0,0.0,30.0,85.4,7703.0,2,0,13.0,44.0,3,Milan
2,2023-09-01,20:45,Serie A,Matchweek 3,Fri,Away,W,2.0,1.0,Roma,1.5,0.7,56.0,61690.0,Davide Calabria,4-2-3-1,Antonio Rapuano,Match Report,,8.0,3.0,37.5,0.33,14.2,0.5,50.0,33.3,86.8,9131.0,4,1,15.0,36.0,3,Milan
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Away,L,1.0,5.0,Inter,1.1,2.6,59.0,75571.0,Davide Calabria,4-3-3,Simone Sozza,Match Report,,9.0,2.0,22.2,0.5,18.6,-0.1,42.9,0.0,89.2,8077.0,2,0,13.0,35.0,3,Milan
5,2023-09-23,15:00,Serie A,Matchweek 5,Sat,Home,W,1.0,0.0,Hellas Verona,0.9,0.6,54.0,71070.0,Rafael Leão,4-2-3-1,Fabio Maresca,Match Report,,9.0,4.0,44.4,0.25,13.7,0.1,100.0,6.7,78.8,6804.0,4,0,12.0,72.0,3,Milan
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,3.0,1.0,Cagliari,2.1,0.9,66.0,16348.0,Theo Hernández,4-3-3,Federico La Penna,Match Report,,17.0,6.0,35.3,0.5,17.8,0.9,83.3,7.7,90.8,10052.0,1,0,6.0,46.0,3,Milan
7,2023-09-30,18:00,Serie A,Matchweek 7,Sat,Home,W,2.0,0.0,Lazio,2.2,0.5,51.0,72035.0,Davide Calabria,4-3-3,Davide Massa,Match Report,,14.0,7.0,50.0,0.29,15.0,-0.2,100.0,33.3,84.7,8082.0,3,0,15.0,43.0,3,Milan
9,2023-10-07,20:45,Serie A,Matchweek 8,Sat,Away,W,1.0,0.0,Genoa,0.6,0.5,59.0,33157.0,Theo Hernández,4-3-3,Marco Piccinini,Match Report,,12.0,3.0,25.0,0.33,19.6,0.4,,0.0,84.6,8267.0,5,1,13.0,40.0,3,Milan
10,2023-10-22,20:45,Serie A,Matchweek 9,Sun,Home,L,0.0,1.0,Juventus,0.3,1.4,52.0,75676.0,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,,7.0,1.0,14.3,0.0,17.9,-0.3,75.0,0.0,78.6,6911.0,1,1,12.0,37.0,3,Milan
12,2023-10-29,20:45,Serie A,Matchweek 10,Sun,Away,D,2.0,2.0,Napoli,2.0,1.7,52.0,54000.0,Davide Calabria,4-3-3,Daniele Orsato,Match Report,,20.0,6.0,30.0,0.33,15.2,0.0,50.0,7.7,84.2,7562.0,3,0,10.0,42.0,3,Milan
13,2023-11-04,20:45,Serie A,Matchweek 11,Sat,Home,L,0.0,1.0,Udinese,0.9,1.4,72.0,71018.0,Davide Calabria,4-4-2,Juan Sacchi,Match Report,,14.0,4.0,28.6,0.0,18.6,-0.9,100.0,0.0,85.3,9830.0,1,0,12.0,40.0,3,Milan
15,2023-11-11,15:00,Serie A,Matchweek 12,Sat,Away,D,2.0,2.0,Lecce,1.1,1.4,55.0,26480.0,Davide Calabria,4-2-3-1,Rosario Abisso,Match Report,,10.0,6.0,60.0,0.33,15.5,0.9,60.0,7.7,81.2,6646.0,6,1,16.0,47.0,3,Milan
16,2023-11-25,20:45,Serie A,Matchweek 13,Sat,Home,W,1.0,0.0,Fiorentina,1.8,1.8,42.0,73074.0,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,8.0,5.0,62.5,0.0,15.7,-0.8,100.0,0.0,77.3,5744.0,1,0,9.0,40.0,3,Milan
18,2023-12-02,20:45,Serie A,Matchweek 14,Sat,Home,W,3.0,1.0,Frosinone,1.2,0.7,47.0,68684.0,Davide Calabria,4-3-3,Matteo Marchetti,Match Report,,10.0,3.0,30.0,1.0,16.4,1.8,66.7,0.0,82.6,7030.0,1,0,11.0,55.0,3,Milan
19,2023-12-09,18:00,Serie A,Matchweek 15,Sat,Away,L,2.0,3.0,Atalanta,1.5,3.3,58.0,14907.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,,14.0,3.0,21.4,0.67,18.3,0.5,57.1,15.4,86.1,9768.0,5,1,11.0,40.0,3,Milan
21,2023-12-17,12:30,Serie A,Matchweek 16,Sun,Home,W,3.0,0.0,Monza,2.0,1.5,45.0,70538.0,Theo Hernández,3-4-3,Gianluca Aureliano,Match Report,,17.0,9.0,52.9,0.33,15.7,1.0,100.0,10.5,86.5,6364.0,1,0,8.0,37.0,3,Milan
22,2023-12-22,20:45,Serie A,Matchweek 17,Fri,Away,D,2.0,2.0,Salernitana,2.2,1.4,65.0,23467.0,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,21.0,8.0,38.1,0.25,16.3,-0.2,71.4,0.0,85.2,7559.0,1,0,11.0,34.0,3,Milan
23,2023-12-30,18:00,Serie A,Matchweek 18,Sat,Home,W,1.0,0.0,Sassuolo,1.5,0.5,58.0,70385.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,20.0,2.0,10.0,0.5,18.1,-0.5,100.0,10.5,86.5,8528.0,0,0,8.0,36.0,3,Milan
25,2024-01-07,12:30,Serie A,Matchweek 19,Sun,Away,W,3.0,0.0,Empoli,1.7,0.9,65.0,15009.0,Davide Calabria,4-3-3,Federico La Penna,Match Report,,12.0,5.0,41.7,0.4,18.5,1.3,100.0,6.7,89.2,10258.0,2,0,13.0,37.0,3,Milan
27,2024-01-14,20:45,Serie A,Matchweek 20,Sun,Home,W,3.0,1.0,Roma,1.5,1.4,48.0,,Theo Hernández,4-3-3,Marco Guida,Match Report,,17.0,5.0,29.4,0.6,17.4,1.5,100.0,5.6,86.4,7044.0,2,0,12.0,35.0,3,Milan
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Away,W,4,1,Genoa,1.0,0.2,68.0,33045.0,Cristiano Biraghi,4-2-3-1,Giovanni Ayroldi,Match Report,,9.0,5.0,55.6,0.8,18.6,3.0,50.0,0.0,86.3,11368.0,3,0,13.0,51.0,3,Fiorentina
2,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,2,2,Lecce,1.3,0.3,59.0,34604.0,Giacomo Bonaventura,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,10.0,4.0,40.0,0.5,13.3,0.7,0.0,0.0,79.7,8030.0,1,0,16.0,55.0,3,Fiorentina
4,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Away,L,0,4,Inter,0.4,3.7,60.0,72739.0,Cristiano Biraghi,4-2-3-1,Matteo Marchetti,Match Report,,6.0,2.0,33.3,0.0,20.5,-0.4,72.7,0.0,84.7,9655.0,1,0,12.0,35.0,3,Fiorentina
5,2023-09-17,18:00,Serie A,Matchweek 4,Sun,Home,W,3,2,Atalanta,1.1,0.7,57.0,32100.0,Giacomo Bonaventura,4-2-3-1,Luca Pairetto,Match Report,,15.0,8.0,53.3,0.38,18.0,1.9,50.0,20.0,81.4,8603.0,1,0,8.0,55.0,3,Fiorentina
7,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Away,W,2,0,Udinese,0.5,2.2,51.0,21229.0,Cristiano Biraghi,4-2-3-1,Daniele Chiffi,Match Report,,6.0,2.0,33.3,1.0,19.1,1.5,100.0,7.1,72.1,6059.0,1,0,11.0,60.0,3,Fiorentina
8,2023-09-28,18:30,Serie A,Matchweek 6,Thu,Away,D,1,1,Frosinone,1.4,0.7,48.0,14755.0,Cristiano Biraghi,4-2-3-1,Francesco Fourneau,Match Report,,19.0,6.0,31.6,0.17,19.5,-0.4,66.7,7.1,76.7,6958.0,3,0,11.0,59.0,3,Fiorentina
9,2023-10-02,20:45,Serie A,Matchweek 7,Mon,Home,W,3,0,Cagliari,1.2,0.8,60.0,27309.0,Giacomo Bonaventura,4-2-3-1,Marco Di Bello,Match Report,,14.0,2.0,14.3,1.0,16.5,0.8,100.0,0.0,87.4,10606.0,1,0,10.0,54.0,3,Fiorentina
11,2023-10-08,20:45,Serie A,Matchweek 8,Sun,Away,W,3,1,Napoli,2.1,1.8,46.0,45000.0,Giacomo Bonaventura,4-2-3-1,Federico La Penna,Match Report,,12.0,3.0,25.0,1.0,14.0,0.9,100.0,0.0,82.5,8035.0,4,0,14.0,45.0,3,Fiorentina
12,2023-10-23,20:45,Serie A,Matchweek 9,Mon,Home,L,0,2,Empoli,1.0,1.5,71.0,43147.0,Giacomo Bonaventura,4-2-3-1,Federico Dionisi,Match Report,,19.0,7.0,36.8,0.0,16.2,-1.0,33.3,0.0,82.9,10359.0,1,0,13.0,57.0,3,Fiorentina
14,2023-10-30,20:45,Serie A,Matchweek 10,Mon,Away,L,0,1,Lazio,0.4,1.9,52.0,35000.0,Cristiano Biraghi,4-2-3-1,Matteo Marcenaro,Match Report,,9.0,5.0,55.6,0.0,18.9,-0.4,100.0,0.0,83.4,8698.0,3,0,17.0,54.0,3,Fiorentina
15,2023-11-05,20:45,Serie A,Matchweek 11,Sun,Home,L,0,1,Juventus,0.7,0.7,68.0,38225.0,Cristiano Biraghi,4-2-3-1,Daniele Chiffi,Match Report,,25.0,4.0,16.0,0.0,23.9,-0.7,66.7,0.0,78.0,8458.0,1,0,12.0,58.0,3,Fiorentina
17,2023-11-12,15:00,Serie A,Matchweek 12,Sun,Home,W,2,1,Bologna,1.4,1.8,39.0,29750.0,Cristiano Biraghi,4-2-3-1,Fabio Maresca,Match Report,,11.0,3.0,27.3,0.33,23.9,0.6,100.0,0.0,74.7,4736.0,2,0,18.0,56.0,3,Fiorentina
18,2023-11-25,20:45,Serie A,Matchweek 13,Sat,Away,L,0,1,Milan,1.8,1.8,58.0,73074.0,Cristiano Biraghi,4-2-3-1,Marco Di Bello,Match Report,,21.0,4.0,19.0,0.0,16.2,-1.8,100.0,0.0,80.2,8756.0,2,0,10.0,52.0,3,Fiorentina
20,2023-12-03,15:00,Serie A,Matchweek 14,Sun,Home,W,3,0,Salernitana,2.5,0.8,57.0,26286.0,Cristiano Biraghi,4-2-3-1,Paride Tremolada,Match Report,,21.0,8.0,38.1,0.25,18.9,0.5,100.0,28.6,83.5,8421.0,1,0,13.0,55.0,3,Fiorentina
22,2023-12-10,20:45,Serie A,Matchweek 15,Sun,Away,D,1,1,Roma,1.5,0.7,65.0,60932.0,Cristiano Biraghi,4-2-3-1,Antonio Rapuano,Match Report,,14.0,8.0,57.1,0.13,16.7,-0.5,0.0,0.0,86.9,10552.0,3,0,14.0,58.0,3,Fiorentina
24,2023-12-17,15:00,Serie A,Matchweek 16,Sun,Home,W,1,0,Hellas Verona,0.5,2.5,65.0,26311.0,Cristiano Biraghi,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,5.0,3.0,60.0,0.33,12.6,0.5,100.0,0.0,74.8,7455.0,3,0,12.0,49.0,3,Fiorentina
25,2023-12-22,20:45,Serie A,Matchweek 17,Fri,Away,W,1,0,Monza,2.0,0.7,48.0,10120.0,Cristiano Biraghi,4-2-3-1,Juan Sacchi,Match Report,,14.0,4.0,28.6,0.25,18.5,-1.0,100.0,0.0,78.5,7413.0,4,0,16.0,52.0,3,Fiorentina
26,2023-12-29,18:30,Serie A,Matchweek 18,Fri,Home,W,1,0,Torino,0.5,0.3,52.0,32915.0,Cristiano Biraghi,4-2-3-1,Federico La Penna,Match Report,,12.0,3.0,25.0,0.33,20.0,0.5,100.0,0.0,75.2,6535.0,4,0,11.0,36.0,3,Fiorentina
27,2024-01-06,20:45,Serie A,Matchweek 19,Sat,Away,L,0,1,Sassuolo,1.2,0.9,66.0,15759.0,Cristiano Biraghi,4-2-3-1,Rosario Abisso,Match Report,,8.0,1.0,12.5,0.0,18.1,-1.2,0.0,0.0,78.8,8016.0,2,0,14.0,45.0,3,Fiorentina
29,2024-01-14,18:00,Serie A,Matchweek 20,Sun,Home,D,2,2,Udinese,1.3,1.2,69.0,,Cristiano Biraghi,4-2-3-1,Luca Pairetto,Match Report,,9.0,2.0,22.2,0.5,20.1,0.7,66.7,0.0,83.5,9431.0,1,0,14.0,44.0,3,Fiorentina
0,2023-08-20,18:30,Serie A,Matchweek 1,Sun,Away,W,2.0,0.0,Sassuolo,1.3,0.4,51.0,12298.0,Marten de Roon,3-5-2,Matteo Marchetti,Match Report,,16.0,4.0,25.0,0.5,17.1,0.7,100.0,20.0,83.2,8028.0,0,0,13.0,49.0,3,Atalanta
1,2023-08-26,18:30,Serie A,Matchweek 2,Sat,Away,L,1.0,2.0,Frosinone,1.6,0.7,63.0,13426.0,Marten de Roon,3-4-1-2,Juan Sacchi,Match Report,,18.0,6.0,33.3,0.17,15.8,-0.6,60.0,0.0,81.6,9231.0,2,0,10.0,62.0,3,Atalanta
2,2023-09-02,20:45,Serie A,Matchweek 3,Sat,Home,W,3.0,0.0,Monza,1.3,0.4,41.0,14985.0,Marten de Roon,3-4-1-2,Matteo Marcenaro,Match Report,,18.0,8.0,44.4,0.38,16.7,1.7,100.0,0.0,82.5,6858.0,0,0,11.0,61.0,3,Atalanta
3,2023-09-17,18:00,Serie A,Matchweek 4,Sun,Away,L,2.0,3.0,Fiorentina,0.7,1.1,43.0,32100.0,Rafael Tolói,3-4-1-2,Luca Pairetto,Match Report,,11.0,4.0,36.4,0.5,16.3,1.3,62.5,7.7,74.5,5563.0,2,0,14.0,60.0,3,Atalanta
5,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Home,W,2.0,0.0,Cagliari,1.7,0.8,56.0,14739.0,Marten de Roon,3-4-3,Ermanno Feliciani,Match Report,,10.0,6.0,60.0,0.33,14.6,0.3,,13.3,79.0,7983.0,1,0,6.0,66.0,3,Atalanta
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,W,1.0,0.0,Hellas Verona,1.2,0.5,49.0,15936.0,Rafael Tolói,3-4-3,Federico Dionisi,Match Report,,8.0,2.0,25.0,0.5,16.6,-0.2,100.0,11.8,66.5,4967.0,4,0,25.0,64.0,3,Atalanta
7,2023-10-01,18:00,Serie A,Matchweek 7,Sun,Home,D,0.0,0.0,Juventus,1.2,0.2,52.0,14811.0,Rafael Tolói,3-4-3,Daniele Chiffi,Match Report,,15.0,2.0,13.3,0.0,16.9,-1.2,100.0,20.0,84.8,7807.0,1,0,13.0,51.0,3,Atalanta
9,2023-10-08,15:00,Serie A,Matchweek 8,Sun,Away,L,2.0,3.0,Lazio,1.0,1.6,54.0,41000.0,Marten de Roon,3-4-1-2,Daniele Orsato,Match Report,,12.0,4.0,33.3,0.5,15.5,1.0,25.0,12.5,84.3,8213.0,1,0,10.0,62.0,3,Atalanta
10,2023-10-22,18:00,Serie A,Matchweek 9,Sun,Home,W,2.0,0.0,Genoa,1.2,1.0,56.0,14848.0,Rafael Tolói,3-4-3,Livio Marinelli,Match Report,,13.0,8.0,61.5,0.25,15.3,0.8,100.0,0.0,82.6,7943.0,4,0,17.0,66.0,3,Atalanta
